Kategori,Soru,Şık A,Şık B,Şık C,Şık D,Doğru Şık
Tarih,Osmanlı Devleti hangi yıl kurulmuştur?,1453,1299,1071,1923,B
Tarih,Cumhuriyet ne zaman ilan edilmiştir?,1920,1919,1923,1938,C
Tarih,İkinci Dünya Savaşı hangi tarihler arasında olmuştur?,1950-1953,1939-1945,1914-1918,1920-1930,B
Tarih,Fatih Sultan Mehmet kaç yaşında tahta çıkmıştır?,16,21,12,18,C
Tarih,İlk Türk devleti hangisidir?,Asya Hun Devleti,Göktürkler,Uygurlar,Selçuklular,A
Tarih,Anadolu Selçuklu Devleti'nin başkenti neresidir?,Kayseri,Ankara,Sivas,Konya,D
Tarih,Lozan Antlaşması hangi yıl imzalanmıştır?,1919,1923,1938,1920,B
Tarih,İstanbul hangi yıl fethedildi?,1923,1071,1453,1299,C
Tarih,Mustafa Kemal Atatürk nerede doğmuştur?,Selanik,Ankara,Samsun,İstanbul,A
Tarih,Kurtuluş Savaşı hangi cephede başlamıştır?,İç Cephe,Güney Cephesi,Doğu Cephesi,Batı Cephesi,C
Tarih,Çanakkale Savaşı hangi savaşın parçasıdır?,İkinci Dünya Savaşı,Balkan Savaşları,Kurtuluş Savaşı,Birinci Dünya Savaşı,D
Tarih,Osmanlı'nın ilk padişahı kimdir?,Orhan Gazi,Fatih Sultan Mehmet,Osman Gazi,Yavuz Sultan Selim,C
Tarih,Türkiye'nin ilk Cumhurbaşkanı kimdir?,Celal Bayar,İsmet İnönü,Turgut Özal,Mustafa Kemal Atatürk,D
Tarih,Sakarya Meydan Muharebesi hangi yıl olmuştur?,1921,1920,1922,1919,A
Tarih,Atatürk'ün naaşı nereye defnedilmiştir?,Anıtkabir,TBMM,Dolmabahçe,Çankaya Köşkü,A
Tarih,İstiklal Marşı'nın yazarı kimdir?,Namık Kemal,Ziya Gökalp,Mehmet Akif Ersoy,Tevfik Fikret,C
Tarih,Anadolu'nun Türkleşmesini sağlayan savaş nedir?,Pasinler,Malazgirt,Kösedağ,Miryokefalon,B
Tarih,Osmanlı Devleti hangi savaşla fiilen sona erdi?,Birinci Dünya Savaşı,Balkan Savaşları,Kurtuluş Savaşı,Sakarya Meydan Muharebesi,A
Tarih,TBMM ne zaman açıldı?,1919,1920,1923,1921,B
Tarih,Atatürk’ün katıldığı ilk savaş hangisidir?,Sakarya Savaşı,Trablusgarp Savaşı,Balkan Savaşları,Çanakkale Savaşı,B
Coğrafya,Türkiye'nin yüz ölçümü yaklaşık kaç km²'dir?,"900,000","783,562","700,000","820,000",B
Coğrafya,Akdeniz'e kıyısı olan ülke hangisidir?,İtalya,Çekya,Avusturya,Macaristan,A
Coğrafya,Dünyanın en derin noktası neresidir?,Pasifik Adası,Mariana Çukuru,Atlas Okyanusu,Everest,B
Coğrafya,En uzun kara sınırına sahip ülke hangisidir?,ABD,Kanada,Rusya,Çin,C
Coğrafya,Balkanlar’da olmayan ülke hangisidir?,Bosna,Arnavutluk,İsviçre,Kosova,C
Coğrafya,Türkiye'nin en büyük akarsuyu hangisidir?,Fırat,Dicle,Sakarya,Kızılırmak,D
Coğrafya,Antarktika'da hangi canlı türü yaygındır?,Tavşan,Timsah,Penguen,Zürafa,C
Coğrafya,Norveç hangi bölge grubunda yer alır?,İskandinavya,Baltık,Benelüks,Balkanlar,A
Coğrafya,Türkiye’nin en yüksek şelalesi hangisidir?,Tortum,Manavgat,Düden,Kurşunlu,A
